#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
3.3450000000e+00	1.8783812578e+04	6.2920257192e+00                 	3.4591283191e+00                 	2.8328974001e+00                 	5.4976385563e-01                 	9.4649819024e-01                 
3.3670000000e+00	1.8661079023e+04	6.2920656082e+00                 	3.4514991519e+00                 	2.8405664563e+00                 	5.4854786437e-01                 	9.4847570811e-01                 
3.3900000000e+00	1.8534469933e+04	6.2921074928e+00                 	3.4439132654e+00                 	2.8481942273e+00                 	5.4733859353e-01                 	9.5043545853e-01                 
3.4130000000e+00	1.8409567264e+04	6.2921489016e+00                 	3.4370626314e+00                 	2.8550862703e+00                 	5.4624623242e-01                 	9.5220107395e-01                 
3.4360000000e+00	1.8286336750e+04	6.2921903213e+00                 	3.4308930152e+00                 	2.8612973062e+00                 	5.4526211700e-01                 	9.5378329530e-01                 
3.4600000000e+00	1.8159495107e+04	6.2922332822e+00                 	3.4249772143e+00                 	2.8672560679e+00                 	5.4431821909e-01                 	9.5529325115e-01                 
3.4840000000e+00	1.8034400996e+04	6.2922757550e+00                 	3.4198215634e+00                 	2.8724541916e+00                 	5.4349518308e-01                 	9.5660332520e-01                 
3.5090000000e+00	1.7905914241e+04	6.2923200630e+00                 	3.4151285983e+00                 	2.8771914647e+00                 	5.4274553172e-01                 	9.5778955416e-01                 
3.5340000000e+00	1.7779245351e+04	6.2923641189e+00                 	3.4107766888e+00                 	2.8815874301e+00                 	5.4205011413e-01                 	9.5888416617e-01                 
3.5590000000e+00	1.7654356019e+04	6.2924079510e+00                 	3.4068053282e+00                 	2.8856026228e+00                 	5.4141520301e-01                 	9.5987830951e-01                 
3.6240000000e+00	1.7337707801e+04	6.2925206176e+00                 	3.3982046428e+00                 	2.8943159748e+00                 	5.4003869821e-01                 	9.6201563165e-01                 
3.7320000000e+00	1.6835973492e+04	6.2927052370e+00                 	3.3881198739e+00                 	2.9045853631e+00                 	5.3842024158e-01                 	9.6449456865e-01                 
3.7750000000e+00	1.6644199489e+04	6.2927781778e+00                 	3.3848426768e+00                 	2.9079355010e+00                 	5.3789321364e-01                 	9.6529307575e-01                 
3.8470000000e+00	1.6332688607e+04	6.2928992059e+00                 	3.3800934315e+00                 	2.9128057744e+00                 	5.3712816953e-01                 	9.6644455688e-01                 
3.9690000000e+00	1.5830650812e+04	6.2931013082e+00                 	3.3740423130e+00                 	2.9190589951e+00                 	5.3614937180e-01                 	9.6790547518e-01                 
4.0990000000e+00	1.5328580891e+04	6.2933143934e+00                 	3.3691431022e+00                 	2.9241712912e+00                 	5.3535273969e-01                 	9.6908370674e-01                 
4.2390000000e+00	1.4822329104e+04	6.2935397808e+00                 	3.3647195199e+00                 	2.9288202609e+00                 	5.3463069069e-01                 	9.7014372059e-01                 
4.3480000000e+00	1.4450748177e+04	6.2937103680e+00                 	3.3621771927e+00                 	2.9315331753e+00                 	5.3421225257e-01                 	9.7075952855e-01                 
